ensembl	HUGO	ID
ENSG00000181524	RPL24P4	19564
ENSG00000179157	RPS2P28	19588
ENSG00000060303	RPS17P5	19714
ENSG00000217527	RPS16P5	19764
ENSG00000219863	RPL31P28	19766
ENSG00000218049	RPL31P33	19767
ENSG00000216854	RPL17P26	19811
ENSG00000213312	RPL7AP34	19867
ENSG00000213309	RPL9P18	19870
ENSG00000216365	RPL37P15	19908
ENSG00000239626	RPSAP41	19962
ENSG00000235174	RPL39P3	19970
ENSG00000224221	RPS6P8	19971
ENSG00000218459	RPS27P15	19983
ENSG00000219722	RPL26P20	20007
ENSG00000219253	RPS6P7	20028
ENSG00000220311	RPL35AP18	20056
ENSG00000219547	RPL17P25	20063
ENSG00000220069	RPL7P27	20132
ENSG00000214457	RPL7P29	20142
ENSG00000220553	RPL5P19	20227
ENSG00000213183	RPS7P8	20256
ENSG00000219902	RPL35P3	20332
ENSG00000216977	RPL21P65	20350
ENSG00000220237	RPS24P12	20361
ENSG00000232778	RPL23AP50	20368
ENSG00000225093	RPL3P7	20373
ENSG00000218632	RPL7P28	20410
ENSG00000216471	RPSAP43	20508
ENSG00000217089	RPS29P13	20546
ENSG00000217404	RPS4XP9	20641
ENSG00000220744	RPL5P18	20647
ENSG00000218689	RPL5P21	20677
ENSG00000219776	RPL21P67	20693
ENSG00000225343	RPL21P66	20717
ENSG00000112306	RPS12	20735
ENSG00000213122	RPL23AP46	20741
ENSG00000230350	RPL35AP3	20815
ENSG00000219463	RPSAP42	20832
ENSG00000217684	RPS3AP24	20870
ENSG00000218351	RPS3AP23	20876
ENSG00000220848	RPS18P9	20985
ENSG00000219146	RPS4XP8	21090
ENSG00000071242	RPS6KA2	21248
ENSG00000232082	RPS6KA2-IT1	21249
ENSG00000231654	RPS6KA2-AS1	21254
ENSG00000218716	RPL12P23	21319
ENSG00000269721	RPL23AP51	21531
ENSG00000223445	RPL6P21	21591
ENSG00000235828	RPL36AP26	21603
ENSG00000224683	RPL36AP29	21606
ENSG00000213860	RPL21P75	21657
ENSG00000234839	RPS26P30	21673
ENSG00000232818	RPS2P32	21717
ENSG00000213787	RPL7AP38	21774
ENSG00000213783	RPL35P4	21820
ENSG00000225907	RPS27P16	21865
ENSG00000235379	RPL7P31	21940
ENSG00000224706	RPS17P13	21989
ENSG00000213744	RPS10P14	21991
ENSG00000231490	RPL7L1P2	22229
ENSG00000232612	RPL31P35	22261
ENSG00000225573	RPL35P5	22564
ENSG00000235090	RPL7L1P3	22749
ENSG00000231322	RPL13AP17	22814
ENSG00000227982	RPL7P30	22864
ENSG00000232385	RPS3AP25	22991
ENSG00000237818	RPS3AP29	23045
ENSG00000214389	RPS3AP26	23063
ENSG00000214142	RPL7P60	23127
ENSG00000231006	RPL7P32	23359
ENSG00000232199	RPL3P8	23373
ENSG00000235459	RPS26P31	23519
ENSG00000279483	RPL41	23793
ENSG00000225918	RPL7P59	24070
ENSG00000225661	RPL14P5	24330
ENSG00000231211	RPL17P49	24455
ENSG00000233357	RPL30P15	24475
ENSG00000215313	RPL6P30	24516
ENSG00000177189	RPS6KA3	24577
ENSG00000238103	RPL9P7	24618
ENSG00000216938	RPL7P58	24664
ENSG00000233921	RPS15AP40	24749
ENSG00000214047	RPS11P7	24803
ENSG00000216866	RPS2P55	24823
ENSG00000229168	RPL19P20	24871
ENSG00000224401	RPL7P57	24950
ENSG00000234566	RPL7AP71	25193
ENSG00000234135	RPL23AP83	25236
ENSG00000236735	RPL31P63	25324
ENSG00000230629	RPS23P8	25371
ENSG00000196933	RPS26P11	25415
ENSG00000198034	RPS4X	25423
ENSG00000237475	RPL7P53	25453
ENSG00000233984	RPSAP14	25469
ENSG00000213695	RPS7P14	25497
ENSG00000233254	RPL21P134	25511
ENSG00000227645	RPL7P54	25551
ENSG00000213653	RPL22P22	25582
ENSG00000072133	RPS6KA6	25592
ENSG00000237506	RPSAP15	25625
ENSG00000228301	RPL7P55	25664
